txLoss : 0.0 , txDelay : 544.0 , txJitter : 50.0 , rxLoss : 0.0 , rxDelay : 432.0 , rxJitter : 5.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 470.0 , txJitter : 97.0 , rxLoss : 0.0 , rxDelay : 331.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 532.0 , txJitter : 45.0 , rxLoss : 0.0 , rxDelay : 371.0 , rxJitter : 4.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 276.0 , txJitter : 39.0 , rxLoss : 0.0 , rxDelay : 242.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 498.0 , txJitter : 104.0 , rxLoss : 0.0 , rxDelay : 436.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 410.0 , txJitter : 149.0 , rxLoss : 0.0 , rxDelay : 331.0 , rxJitter : 13.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 425.0 , txJitter : 123.0 , rxLoss : 0.0 , rxDelay : 346.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 352.0 , txJitter : 103.0 , rxLoss : 0.0 , rxDelay : 291.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 390.0 , txJitter : 106.0 , rxLoss : 0.0 , rxDelay : 326.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 406.0 , txJitter : 73.0 , rxLoss : 0.0 , rxDelay : 352.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 318.0 , txJitter : 66.0 , rxLoss : 0.0 , rxDelay : 285.0 , rxJitter : 15.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 350.0 , txJitter : 70.0 , rxLoss : 0.0 , rxDelay : 308.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 318.0 , txJitter : 81.0 , rxLoss : 0.0 , rxDelay : 278.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 269.0 , txJitter : 40.0 , rxLoss : 0.0 , rxDelay : 266.0 , rxJitter : 35.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 299.0 , txJitter : 84.0 , rxLoss : 0.0 , rxDelay : 259.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 651.0 , txJitter : 108.0 , rxLoss : 0.0 , rxDelay : 574.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 336.0 , txJitter : 34.0 , rxLoss : 0.0 , rxDelay : 325.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 383.0 , txJitter : 65.0 , rxLoss : 0.0 , rxDelay : 340.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 330.0 , txJitter : 65.0 , rxLoss : 0.0 , rxDelay : 293.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 454.0 , txJitter : 54.0 , rxLoss : 0.0 , rxDelay : 422.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 434.0 , txJitter : 38.0 , rxLoss : 0.0 , rxDelay : 421.0 , rxJitter : 16.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 360.0 , txJitter : 43.0 , rxLoss : 0.0 , rxDelay : 341.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 311.0 , txJitter : 76.0 , rxLoss : 0.0 , rxDelay : 344.0 , rxJitter : 9.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 295.0 , txJitter : 87.0 , rxLoss : 0.0 , rxDelay : 247.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 2569.0 , txJitter : 87.0 , rxLoss : 0.0 , rxDelay : 2454.0 , rxJitter : 67.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 398.0 , txJitter : 29.0 , rxLoss : 0.0 , rxDelay : 158.0 , rxJitter : 11.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 404.0 , txJitter : 33.0 , rxLoss : 0.0 , rxDelay : 180.0 , rxJitter : 11.0 , throughput : 0.0/MISS
